title,author,isbn_13,format_code,location_code,notes
And Then There Were None,Agatha Christie,9781542895125,LP,F1-B15-S10,Large print edition
And Then There Were None,Agatha Christie,9781542895125,ACD,F0-B03-S01,Audiobook (CD)
Anne of Avonlea,Lucy Maud Montgomery,9798728083719,PB,F1-B28-S01,
Anne of Avonlea,Lucy Maud Montgomery,9798728083719,LP,F1-B17-S03,Large print edition
Anne of Avonlea,Lucy Maud Montgomery,9798728083719,LP,F1-B17-S03,Large print edition
Anne of Avonlea,Lucy Maud Montgomery,9798728083719,PB,F1-B28-S01,
Anne of Green Gables,Lucy Maud Montgomery,9781958437025,PB,F1-B28-S06,
Anne of Green Gables,Lucy Maud Montgomery,9781958437025,ADIG,,Audiobook (digital)
Anne of the Island,Lucy Maud Montgomery,9781389247552,PB,F1-B09-S01,Slightly damaged cover
Anne of the Island,Lucy Maud Montgomery,9781389247552,ADIG,,Slightly damaged cover; Audiobook (digital)
Anne of the Island,Lucy Maud Montgomery,9781389247552,PB,F1-B09-S01,Slightly damaged cover
Anne of the Island,Lucy Maud Montgomery,9781389247552,PB,F1-B09-S01,Slightly damaged cover
Anne of Windy Poplars,Lucy Maud Montgomery,9798583176182,PB,F2-B08-S06,Replacement case
Anne of Windy Poplars,Lucy Maud Montgomery,9798583176182,PB,F2-B08-S06,Replacement case
Anne of Windy Poplars,Lucy Maud Montgomery,9798583176182,PB,F2-B08-S06,Replacement case
Anne of Windy Poplars,Lucy Maud Montgomery,9798583176182,PB,F2-B08-S06,Replacement case
Anne's House of Dreams,Lucy Maud Montgomery,9781718818477,PB,F2-B19-S05,
Anne's House of Dreams,Lucy Maud Montgomery,9781718818477,ACD,F1-B01-S07,Audiobook (CD)
Anxiety,Serajul ISLAM,9798674713296,PB,F1-B15-S08,
Anxiety,Serajul ISLAM,9798674713296,ACD,F1-B04-S05,Audiobook (CD)
Anxiety,Serajul ISLAM,9798674713296,PB,F1-B15-S08,
Anxiety,Serajul ISLAM,9798674713296,ADIG,,Audiobook (digital)
Anxiety,Serajul ISLAM,9798674713296,PB,F1-B15-S08,
Appointment with Death,Agatha Christie,9781572705234,PB,F2-B07-S02,
Appointment with Death,Agatha Christie,9781572705234,PB,F2-B07-S02,
Appointment with Death,Agatha Christie,9781572705234,LP,F1-B03-S02,Large print edition
Appointment with Death,Agatha Christie,9781572705234,ADIG,,Audiobook (digital)
Appointment with Death,Agatha Christie,9781572705234,ADIG,,Audiobook (digital)
Artemis Fowl and the Arctic Incident,Eoin Colfer,9780307343109,PB,F1-B15-S09,Staff pick
Artemis Fowl and the Arctic Incident,Eoin Colfer,9780307343109,PB,F1-B15-S09,Staff pick
Artemis Fowl and the Arctic Incident,Eoin Colfer,9780307343109,PB,F1-B15-S09,Staff pick
Artemis Fowl and the Arctic Incident,Eoin Colfer,9780307343109,LP,F1-B26-S07,Staff pick; Large print edition
Artemis Fowl and the Atlantis Complex,Eoin Colfer,9780241335659,PB,F1-B03-S08,Missing dust jacket
Artemis Fowl and the Atlantis Complex,Eoin Colfer,9780241335659,PB,F1-B03-S08,Missing dust jacket
Artemis Fowl and the Atlantis Complex,Eoin Colfer,9780241335659,LP,F1-B17-S09,Missing dust jacket; Large print edition
Artemis Fowl and the Atlantis Complex,Eoin Colfer,9780241335659,PB,F1-B03-S08,Missing dust jacket
Artemis Fowl and the Atlantis Complex,Eoin Colfer,9780241335659,LP,F1-B17-S09,Missing dust jacket; Large print edition
Artemis Fowl and the Eternity Code,Eoin Colfer,9781484443064,PB,F2-B17-S05,
Artemis Fowl and the Eternity Code,Eoin Colfer,9781484443064,ACD,F0-B01-S04,Audiobook (CD)
Artemis Fowl and the Eternity Code,Eoin Colfer,9781484443064,LP,F1-B07-S03,Large print edition
Artemis Fowl and the Eternity Code,Eoin Colfer,9781484443064,PB,F2-B17-S05,
Artemis Fowl and the Time Paradox,Eoin Colfer,9781484493984,PB,F1-B21-S08,
Artemis Fowl and the Time Paradox,Eoin Colfer,9781484493984,PB,F1-B21-S08,
Artemis Fowl and the Time Paradox,Eoin Colfer,9781484493984,PB,F1-B21-S08,
Artemis Fowl and the Time Paradox,Eoin Colfer,9781484493984,LP,F1-B11-S10,Large print edition
Artemis Fowl. The Lost Colony,Eoin Colfer,9788711312278,PB,F2-B15-S02,
Artemis Fowl. The Lost Colony,Eoin Colfer,9788711312278,ACD,F1-B23-S05,Audiobook (CD)
Atlantis Found,Clive Cussler,9788401329326,PB,F1-B25-S03,Donated copy
Atlantis Found,Clive Cussler,9788401329326,ADIG,,Audiobook (digital)
Behind Closed Doors,B.A. Paris,9781250121004,PB,F2-B25-S09,
Behind Closed Doors,B.A. Paris,9781250121004,PB,F2-B25-S09,
Behind Closed Doors,B.A. Paris,9781250121004,PB,F2-B25-S09,
Behind Closed Doors,B.A. Paris,9781250121004,PB,F2-B25-S09,
Behind Closed Doors,B.A. Paris,9781250121004,PB,F2-B25-S09,
Black Beauty,Anna Sewell,9781530899845,PB,F2-B02-S09,
Black Beauty,Anna Sewell,9781530899845,ACD,F0-B14-S01,Audiobook (CD)
Black Beauty,Anna Sewell,9781530899845,PB,F2-B02-S09,
Black Beauty,Anna Sewell,9781530899845,LP,F1-B03-S06,Large print edition
Blindsighted,Karin Slaughter,9781856867757,PB,F2-B07-S09,
Blindsighted,Karin Slaughter,9781856867757,PB,F2-B07-S09,
Blindsighted,Karin Slaughter,9781856867757,LP,F1-B20-S10,Large print edition
Blindsighted,Karin Slaughter,9781856867757,LP,F1-B20-S10,Large print edition
Blindsighted,Karin Slaughter,9781856867757,PB,F2-B07-S09,
Born a Crime,Trevor Noah,9788960518148,PB,F1-B14-S03,
Born a Crime,Trevor Noah,9788960518148,LP,F1-B15-S02,Large print edition
Born a Crime,Trevor Noah,9788960518148,ACD,F1-B15-S05,Audiobook (CD)
Born a Crime,Trevor Noah,9788960518148,LP,F1-B15-S02,Large print edition
Born a Crime,Trevor Noah,9788960518148,ADIG,,Audiobook (digital)
Brighton rock,Graham Greene,9780140130263,PB,F1-B10-S01,
Brighton rock,Graham Greene,9780140130263,PB,F1-B10-S01,
Brighton rock,Graham Greene,9780140130263,PB,F1-B10-S01,
Brighton rock,Graham Greene,9780140130263,PB,F1-B10-S01,
Brighton rock,Graham Greene,9780140130263,PB,F1-B10-S01,
Busman's honeymoon,Dorothy L. Sayers,9781453262320,PB,F2-B10-S05,
Busman's honeymoon,Dorothy L. Sayers,9781453262320,EBK,,eBook edition
By the Pricking of My Thumbs,Agatha Christie,9780671414948,PB,F2-B21-S08,
By the Pricking of My Thumbs,Agatha Christie,9780671414948,LP,F1-B22-S10,Large print edition
By the Pricking of My Thumbs,Agatha Christie,9780671414948,LP,F1-B22-S10,Large print edition
By the Pricking of My Thumbs,Agatha Christie,9780671414948,PB,F2-B21-S08,
By the Pricking of My Thumbs,Agatha Christie,9780671414948,ACD,F1-B28-S06,Audiobook (CD)
Cards on the Table,Agatha Christie,9788427285262,PB,F2-B16-S09,
Cards on the Table,Agatha Christie,9788427285262,PB,F2-B16-S09,
Cards on the Table,Agatha Christie,9788427285262,PB,F2-B16-S09,
Cards on the Table,Agatha Christie,9788427285262,PB,F2-B16-S09,
Cat & Mouse,James Patterson,9789652867926,PB,F1-B10-S06,
Cat & Mouse,James Patterson,9789652867926,ADIG,,Audiobook (digital)
Cat & Mouse,James Patterson,9789652867926,PB,F1-B10-S06,
Cat & Mouse,James Patterson,9789652867926,PB,F1-B10-S06,
Cat Among the Pigeons,Agatha Christie,9780061716461,PB,F1-B04-S04,
Cat Among the Pigeons,Agatha Christie,9780061716461,PB,F1-B04-S04,
Cat Among the Pigeons,Agatha Christie,9780061716461,ACD,F0-B15-S10,Audiobook (CD)
Cat Among the Pigeons,Agatha Christie,9780061716461,ADIG,,Audiobook (digital)
Cat Among the Pigeons,Agatha Christie,9780061716461,PB,F1-B04-S04,
Cause of Death,Patricia Cornwell,9780751590371,PB,F2-B04-S02,
Cause of Death,Patricia Cornwell,9780751590371,ADIG,,Audiobook (digital)
Cause of Death,Patricia Cornwell,9780751590371,PB,F2-B04-S02,
Cause of Death,Patricia Cornwell,9780751590371,ACD,F1-B25-S08,Audiobook (CD)
Ceremony in Death,Nora Roberts,9780340674895,PB,F1-B20-S02,
Ceremony in Death,Nora Roberts,9780340674895,ADIG,,Audiobook (digital)
Charlie and the Chocolate Factory,Roald Dahl,9780394910116,PB,F2-B09-S04,
Charlie and the Chocolate Factory,Roald Dahl,9780394910116,PB,F2-B09-S04,
Charlie and the Chocolate Factory,Roald Dahl,9780394910116,PB,F2-B09-S04,
Charlie and the Chocolate Factory,Roald Dahl,9780394910116,PB,F2-B09-S04,
Charlie and the Chocolate Factory,Roald Dahl,9780394910116,PB,F2-B09-S04,
Charlie and the Great Glass Elevator,Roald Dahl,9780241568705,PB,F2-B17-S08,
Charlie and the Great Glass Elevator,Roald Dahl,9780241568705,PB,F2-B17-S08,
Charlie and the Great Glass Elevator,Roald Dahl,9780241568705,ACD,F1-B15-S09,Audiobook (CD)
Charlie and the Great Glass Elevator,Roald Dahl,9780241568705,PB,F2-B17-S08,
Charlie and the Great Glass Elevator,Roald Dahl,9780241568705,PB,F2-B17-S08,
Charlotte's Web,E. B. White,9788804559511,PB,F2-B11-S07,
Charlotte's Web,E. B. White,9788804559511,ACD,F1-B18-S03,Audiobook (CD)
"Clarissa; or, The history of a young lady: comprehending the most important concerns of private life; and particularly shewing the distresses that may attend the misconduct both of parents and children, in relation to marriage ..",Samuel Richardson,9781421908670,PB,F2-B13-S05,
"Clarissa; or, The history of a young lady: comprehending the most important concerns of private life; and particularly shewing the distresses that may attend the misconduct both of parents and children, in relation to marriage ..",Samuel Richardson,9781421908670,PB,F2-B13-S05,
"Clarissa; or, The history of a young lady: comprehending the most important concerns of private life; and particularly shewing the distresses that may attend the misconduct both of parents and children, in relation to marriage ..",Samuel Richardson,9781421908670,LP,F1-B05-S07,Large print edition
"Clarissa; or, The history of a young lady: comprehending the most important concerns of private life; and particularly shewing the distresses that may attend the misconduct both of parents and children, in relation to marriage ..",Samuel Richardson,9781421908670,PB,F2-B13-S05,
"Clarissa; or, The history of a young lady: comprehending the most important concerns of private life; and particularly shewing the distresses that may attend the misconduct both of parents and children, in relation to marriage ..",Samuel Richardson,9781421908670,PB,F2-B13-S05,
Clouds of Witness,Dorothy L. Sayers,9789997530721,PB,F1-B22-S06,
Clouds of Witness,Dorothy L. Sayers,9789997530721,PB,F1-B22-S06,
Clouds of Witness,Dorothy L. Sayers,9789997530721,PB,F1-B22-S06,
Clouds of Witness,Dorothy L. Sayers,9789997530721,LP,F1-B10-S02,Large print edition
Crime and criminology,R. D. White,9780195426090,PB,F2-B26-S01,
Crime and criminology,R. D. White,9780195426090,LP,F1-B03-S09,Large print edition
Crime and criminology,R. D. White,9780195426090,PB,F2-B26-S01,
Crime and criminology,R. D. White,9780195426090,PB,F2-B26-S01,
Crime and criminology,Sue Titus Reid,9781454855835,PB,F2-B15-S02,Donated copy
Crime and criminology,Sue Titus Reid,9781454855835,PB,F2-B15-S02,Donated copy
Crime and criminology,Sue Titus Reid,9781454855835,PB,F2-B15-S02,Donated copy
Crime and criminology,Sue Titus Reid,9781454855835,PB,F2-B15-S02,Donated copy
Crime and Punishment,Фёдор Михайлович Достоевский,9781988120591,PB,F1-B16-S04,
Crime and Punishment,Фёдор Михайлович Достоевский,9781988120591,ADIG,,Audiobook (digital); Slightly damaged cover
Crime and Punishment,Фёдор Михайлович Достоевский,9781722344054,PB,F2-B27-S08,
Crime and Punishment,Фёдор Михайлович Достоевский,9781722344054,ACD,F1-B24-S06,Audiobook (CD)
Crime Of Passion,Lynne Graham,9780263841022,PB,F1-B21-S04,
Crime Of Passion,Lynne Graham,9780263841022,PB,F1-B21-S04,
Crime Of Passion,Lynne Graham,9780263841022,PB,F1-B21-S04,
Crime Of Passion,Lynne Graham,9780263841022,PB,F1-B21-S04,
Criminalistics,Richard Saferstein,9780132216555,PB,F2-B08-S08,
Criminalistics,Richard Saferstein,9780132216555,PB,F2-B08-S08,
Criminalistics,Richard Saferstein,9780132216555,LP,F1-B05-S08,Large print edition
Criminalistics,Richard Saferstein,9780132216555,ADIG,,Audiobook (digital)
Criminalistics,Richard Saferstein,9780132216555,PB,F2-B08-S08,
Crooked House,Agatha Christie,9781405678131,PB,F1-B13-S10,
Crooked House,Agatha Christie,9781405678131,PB,F1-B13-S10,
Crooked House,Agatha Christie,9781405678131,ADIG,,Audiobook (digital)
Crooked House,Agatha Christie,9781405678131,PB,F1-B13-S10,
Crooked House,Agatha Christie,9781405678131,PB,F1-B13-S10,
Cyber Security,Nina Godpole,9788126521791,PB,F1-B17-S06,Staff pick
Cyber Security,Nina Godpole,9788126521791,ADIG,,Audiobook (digital); Donated copy
Dark Places,Gillian Flynn,9780753827031,PB,F1-B02-S07,
Dark Places,Gillian Flynn,9780753827031,PB,F1-B02-S07,
Dark Places,Gillian Flynn,9780753827031,PB,F1-B02-S07,
Dark Places,Gillian Flynn,9780753827031,ACD,F1-B26-S03,Audiobook (CD)
Darkly dreaming Dexter,Jeffry P. Lindsay,9781405610469,PB,F2-B05-S10,
Darkly dreaming Dexter,Jeffry P. Lindsay,9781405610469,ACD,F0-B13-S10,Audiobook (CD)
Dead Man's Folly,Agatha Christie,9782013919937,PB,F1-B14-S01,
Dead Man's Folly,Agatha Christie,9782013919937,ACD,F0-B24-S06,Audiobook (CD)
Death Comes as the End,Agatha Christie,9780007354696,PB,F1-B03-S05,
Death Comes as the End,Agatha Christie,9780007354696,PB,F1-B03-S05,
Death Comes as the End,Agatha Christie,9780007354696,ADIG,,Audiobook (digital)
Death Comes as the End,Agatha Christie,9780007354696,ACD,F1-B18-S02,Audiobook (CD)
Death Comes as the End,Agatha Christie,9780007354696,LP,F1-B10-S02,Large print edition
Death in the Clouds,Agatha Christie,9789794030714,PB,F2-B25-S09,
Death in the Clouds,Agatha Christie,9789794030714,PB,F2-B25-S09,
Death in the Clouds,Agatha Christie,9789794030714,PB,F2-B25-S09,
Death in the Clouds,Agatha Christie,9789794030714,ACD,F1-B11-S03,Audiobook (CD)
Death in the Clouds,Agatha Christie,9789794030714,PB,F2-B25-S09,
Death on the Nile,Agatha Christie,9780007422289,PB,F2-B26-S08,
Death on the Nile,Agatha Christie,9780007422289,LP,F1-B21-S08,Large print edition
Death on the Nile,Agatha Christie,9780007422289,PB,F2-B26-S08,
Death on the Nile,Agatha Christie,9780007422289,PB,F2-B26-S08,
Destination Unknown,Agatha Christie,9780671824655,PB,F1-B02-S04,
Destination Unknown,Agatha Christie,9780671824655,ADIG,,Audiobook (digital)
Diary of a Wimpy Kid,Jeff Kinney,9788427226241,PB,F2-B10-S10,
Diary of a Wimpy Kid,Jeff Kinney,9788427226241,PB,F2-B10-S10,
Diary of a Wimpy Kid,Jeff Kinney,9788427226241,PB,F2-B10-S10,
Diary of a Wimpy Kid,Jeff Kinney,9788427226241,PB,F2-B10-S10,
Diary of a Wimpy Kid,Jeff Kinney,9788427226241,ADIG,,Audiobook (digital)
Dictionary of Daily Life in Biblical and Post-Biblical Antiquity,Edwin M. Yamauchi,9781496469304,PB,F1-B10-S08,
Dictionary of Daily Life in Biblical and Post-Biblical Antiquity,Edwin M. Yamauchi,9781496469304,LP,F1-B04-S01,Large print edition
Different Seasons,Stephen King,9785170027255,PB,F2-B22-S10,
Different Seasons,Stephen King,9785170027255,PB,F2-B22-S10,
Different Seasons,Stephen King,9785170027255,PB,F2-B22-S10,
Different Seasons,Stephen King,9785170027255,PB,F2-B22-S10,
Different Seasons,Stephen King,9785170027255,PB,F2-B22-S10,
Dirk Gently’s Holistic Detective Agency,Douglas Adams,9780613997157,PB,F1-B20-S06,
Dirk Gently’s Holistic Detective Agency,Douglas Adams,9780613997157,PB,F1-B20-S06,
Dirk Gently’s Holistic Detective Agency,Douglas Adams,9780613997157,PB,F1-B20-S06,
Dirk Gently’s Holistic Detective Agency,Douglas Adams,9780613997157,PB,F1-B20-S06,
Dolores Claiborne,Stephen King,9789700504575,PB,F2-B21-S07,
Dolores Claiborne,Stephen King,9789700504575,PB,F2-B21-S07,
Dolores Claiborne,Stephen King,9789700504575,PB,F2-B21-S07,
Dolores Claiborne,Stephen King,9789700504575,PB,F2-B21-S07,
Dorothy and the Wizard in Oz,L. Frank Baum,9780665789632,PB,F2-B15-S10,
Dorothy and the Wizard in Oz,L. Frank Baum,9780665789632,PB,F2-B15-S10,
Dorothy and the Wizard in Oz,L. Frank Baum,9780665789632,ACD,F1-B10-S05,Audiobook (CD)
Dorothy and the Wizard in Oz,L. Frank Baum,9780665789632,PB,F2-B15-S10,
Dorothy and the Wizard in Oz,L. Frank Baum,9780665789632,PB,F2-B15-S10,
Dragon Ball Z; Thank You,鳥山 明 [Akira Toriyama],9781415657690,PB,F2-B01-S02,
Dragon Ball Z; Thank You,鳥山 明 [Akira Toriyama],9781415657690,LP,F1-B12-S07,Large print edition
Dragon Ball Z; Thank You,鳥山 明 [Akira Toriyama],9781415657690,ADIG,,Audiobook (digital)
Dragon Ball Z; Thank You,鳥山 明 [Akira Toriyama],9781415657690,PB,F2-B01-S02,
Dragon Ball Z; Thank You,鳥山 明 [Akira Toriyama],9781415657690,PB,F2-B01-S02,
Elephants Can Remember,Agatha Christie,9789573248033,PB,F1-B03-S07,
Elephants Can Remember,Agatha Christie,9789573248033,EBK,,eBook edition
Emily of New Moon,Lucy Maud Montgomery,9780486841892,PB,F1-B12-S06,
Emily of New Moon,Lucy Maud Montgomery,9780486841892,ACD,F0-B22-S05,Audiobook (CD)
Empire of Pain,Patrick Radden Keefe,9788417339739,PB,F1-B16-S10,
Empire of Pain,Patrick Radden Keefe,9788417339739,PB,F1-B16-S10,
Empire of Pain,Patrick Radden Keefe,9788417339739,PB,F1-B16-S10,
Empire of Pain,Patrick Radden Keefe,9788417339739,PB,F1-B16-S10,
End of Watch,Stephen King,9781473634039,PB,F1-B18-S03,
End of Watch,Stephen King,9781473634039,PB,F1-B18-S03,
End of Watch,Stephen King,9781473634039,LP,F1-B22-S05,Large print edition
End of Watch,Stephen King,9781473634039,PB,F1-B18-S03,
Endless Night,Agatha Christie,9780671425111,PB,F2-B22-S09,
Endless Night,Agatha Christie,9780671425111,PB,F2-B22-S09,
Endless Night,Agatha Christie,9780671425111,PB,F2-B22-S09,
Endless Night,Agatha Christie,9780671425111,PB,F2-B22-S09,
Endless Night,Agatha Christie,9780671425111,PB,F2-B22-S09,
Evil Under the Sun,Agatha Christie,9780007119264,PB,F2-B17-S05,
Evil Under the Sun,Agatha Christie,9780007119264,PB,F2-B17-S05,
Evil Under the Sun,Agatha Christie,9780007119264,PB,F2-B17-S05,
Evil Under the Sun,Agatha Christie,9780007119264,ACD,F1-B15-S01,Audiobook (CD)
Fantastic Beasts,J. K. Rowling,9780751578287,PB,F2-B12-S05,
Fantastic Beasts,J. K. Rowling,9780751578287,PB,F2-B12-S05,
Fantastic Beasts,J. K. Rowling,9780751578287,PB,F2-B12-S05,
Fantastic Beasts,J. K. Rowling,9780751578287,PB,F2-B12-S05,
Fantastic Beasts,J. K. Rowling,9780751578287,PB,F2-B12-S05,
Fantastic Mr Fox,Roald Dahl,9782070552689,PB,F2-B28-S05,
Fantastic Mr Fox,Roald Dahl,9782070552689,PB,F2-B28-S05,
Fantastic Mr Fox,Roald Dahl,9782070552689,PB,F2-B28-S05,
Fantastic Mr Fox,Roald Dahl,9782070552689,PB,F2-B28-S05,
Glory in Death,Nora Roberts,9780425150986,PB,F2-B10-S01,
Glory in Death,Nora Roberts,9780425150986,EBK,,eBook edition
Great Expectations,Charles Dickens,9781409061137,PB,F2-B11-S06,Staff pick
Great Expectations,Charles Dickens,9781409061137,LP,F1-B28-S03,Large print edition
Greenmantle,John Buchan,9781461022862,PB,F1-B16-S05,Staff pick
Greenmantle,John Buchan,9781461022862,PB,F1-B16-S05,Staff pick
Greenmantle,John Buchan,9781461022862,ACD,F0-B08-S03,Staff pick; Audiobook (CD)
Greenmantle,John Buchan,9781461022862,ADIG,,Staff pick; Audiobook (digital)
Greenmantle,John Buchan,9781461022862,PB,F1-B16-S05,Staff pick
Guess How Much I Love You,Sam McBratney,9783794151257,PB,F1-B08-S03,
Guess How Much I Love You,Sam McBratney,9783794151257,EBK,,eBook edition
